Ma,CO2.23,CO2.Full
0.25,263.4,238.24
0.75,263.2,239.42
1.25,262.67,245.65
1.75,263.61,248.81
2.25,265.07,254.12
2.75,269.62,267.41
3.25,299.97,284.81
3.75,323.48,296.23
4.25,342.94,306.79
4.75,323.45,296.35
5.25,388.21,330.81
5.75,367.72,322.36
6.25,383.09,328.68
6.75,394.63,333.57
7.25,392.7,333.01
7.75,400.26,336.26
8.25,385.33,330.42
8.75,396.39,335.13
9.25,398.68,336.2
9.75,407.43,339.83
10.25,413.1,342.3
10.75,421.95,345.96
11.25,422.69,346.49
11.75,428.64,349
12.25,437.06,352.44
12.75,440.47,353.92
13.25,464.63,363.62
13.75,470.51,366.2
14.25,510.33,382.19
14.75,539.7,394.29
15.25,544.34,396.41
15.75,525.23,388.79
16.25,519.8,387.04
16.75,506.33,381.81
17.25,465.73,365.72
17.75,468.67,367.11
18.25,476.63,370.85
18.75,467.04,366.87
19.25,454.02,361.9
19.75,477.7,372.22
20.25,495.44,379.04
20.75,481.9,373.96
21.25,485.37,375.26
21.75,515.77,388.34
22.25,498.13,380.84
22.75,473.61,371.13
23.25,481.72,374.77
23.75,497.46,381.14
24.25,533.31,396.28
24.75,535.2,396.89
25.25,524.63,392.74
25.75,505.05,385.5
26.25,505.3,386.07
26.75,482.02,376.28
27.25,462.07,368.87
27.75,456.78,367.07
28.25,467.71,371.57
28.75,473.76,373.68
29.25,471.69,373.67
29.75,495.98,383.05
30.25,481.36,377.66
30.75,464.64,370.9
31.25,489.43,381.01
31.75,489.56,381.62
32.25,485.14,379.91
32.75,475.23,375.93
33.25,448.9,366.37
33.75,523.5,395.67
34.25,562.63,411.85
34.75,565.44,412.81
35.25,571.73,414.61
35.75,532.84,395.05
36.25,574.96,416.5
36.75,577.62,418.01
37.25,592.41,425.56
37.75,643.71,449.76
38.25,662.6,458.48
38.75,680.66,466.76
39.25,741.6,493.81
39.75,766.79,505.1
40.25,824.61,531.05
40.75,763.09,503.83
41.25,840.25,538.28
41.75,910.55,568.83
42.25,790.09,516.54
42.75,868.81,551.32
43.25,900.97,565.4
43.75,888.58,560.26
44.25,844.36,541.32
44.75,867.81,551.74
45.25,936.21,581.24
45.75,1007.46,611.33
46.25,1109.05,652.99
46.75,1152.62,670.71
47.25,1297.18,727.32
47.75,1346.79,746.49
48.25,1372.16,758.5
48.75,1502.96,822.99
49.25,1448.23,796.52
49.75,1515.64,829.42
50.25,1579.25,860.58
50.75,1665.58,902.6
51.25,1691.65,915.35
51.75,1534.6,839.35
52.25,1557.01,850.5
52.75,1576.84,860.2
53.25,1491,818.56
53.75,1363.98,756.49
54.25,1398.93,773.75
54.75,1510.34,828.54
55.25,1318.21,739.77
55.75,1256.74,716.34
56.25,1204.62,696.16
56.75,1106.54,657.18
57.25,1045.58,632.51
57.75,1015.11,620.11
58.25,944.91,590.72
58.75,931.12,585.07
59.25,1049.4,635.02
59.75,1055.04,637.59
60.25,1180.26,688.61
60.75,1175.49,686.97
61.25,1147.31,675.91
61.75,1163.03,682.45
62.25,1143.14,674.75
62.75,1034.52,630.56
63.25,979.91,607.85
63.75,1163.68,683.76
64.25,1128.09,669.65
64.75,1175.44,689.03
65.25,1014,623.1
