"Ma","CO2"
0.0016,261.16
0.0024,265.96
0.0032,265.96
0.004,256.14
0.0048,251.99
0.0054,256.66
0.0062,255.75
0.007,254.07
0.0078,260.09
0.0086,262.55
0.0096,243.89
0.0104,238.69
0.0112,231.09
0.0118,227.9
0.0128,214.1
0.0136,210.03
0.0148,195.09
0.016,190.26
0.017,175.15
0.0176,171.68
0.0184,169.44
0.0188,172.67
0.0195,171.15
0.0205,176.91
0.0217,174.78
0.0225,178.03
0.0237,177
0.0248,179.05
0.0258,178.68
0.0266,181.89
0.0278,184.97
0.0287,186.63
0.0297,189.08
0.0307,188.29
0.0317,191.37
0.0324,186.43
0.0335,188.1
0.0343,186.63
0.0351,190.17
0.0363,187.11
0.0376,191.56
0.0384,190.67
0.0394,193.58
0.0404,193.38
0.0411,193.98
0.0419,191.68
0.043,192.87
0.0442,193.98
0.0454,194.69
0.0465,195.21
0.0475,195.21
0.0483,195.41
0.0491,193.58
0.0499,190.67
0.0507,196.23
0.0513,197.46
0.0519,199.94
0.0528,204.36
0.0534,206.38
0.0542,200.67
0.0552,199.74
0.056,203.29
0.057,197.97
0.0581,193.58
0.0591,196.43
0.0605,198.49
0.0619,195.01
0.0627,195.11
0.0635,198.08
0.0643,192.29
0.0651,191.88
0.0661,192.48
0.0674,198.29
0.0689,202.57
0.0703,208.54
0.0715,212.91
0.0729,212.69
0.074,210.72
0.075,211.49
0.0766,216.24
0.0778,220.54
0.0786,227.94
0.0794,229
0.0806,227.24
0.0812,228.18
0.082,224.78
0.0832,215.92
0.0846,217.93
0.0856,220.2
0.0868,217.6
0.0879,215.69
0.0887,216.15
0.0895,219.07
0.0903,218.39
0.0911,217.26
0.0922,221.69
0.0932,231.38
0.0942,227.35
0.0951,228.41
0.0961,231.97
0.0969,231.25
0.0979,225.73
0.0988,229.6
0.0997,229.12
0.1009,231.25
0.1019,234.49
0.1027,235.58
0.1038,231.38
0.1052,232.46
0.1062,228.77
0.1072,224.8
0.1088,222.49
0.11,225.84
0.111,224.57
0.112,231.26
0.113,235.58
0.1137,239.37
0.1145,242.45
0.1155,237.77
0.1165,233.65
0.1175,242.57
0.1184,248.48
0.1192,250.78
0.1199,272.09
0.1205,315.67
0.1215,287.82
0.1224,295.75
0.1236,318.18
0.1245,262.2
0.1255,246.71
0.1263,240.72
0.1276,232.95
0.1286,211.73
0.1298,211.4
0.131,204.28
0.1324,191.81
0.1334,179.48
0.1344,178.26
0.1354,177.42
0.1368,173.82
0.1378,177.61
0.1386,179.2
0.1396,178.92
0.1404,178.63
0.141,181.85
0.1418,182.05
0.1426,182.52
0.1433,181.28
0.1441,183.77
0.1449,179.77
0.1457,178.64
0.1465,179.49
0.1472,180.43
0.148,173.19
0.1486,175.3
0.1492,178.83
0.15,179.49
0.1508,181.86
0.1516,184.64
0.1526,186.1
0.1536,188.45
0.1544,187.96
0.1554,188.74
0.1563,190.53
0.1573,190.23
0.1581,187.07
0.1591,185.7
0.1599,187.37
0.161,189.83
0.1618,191.73
0.1629,192.53
0.1639,198.44
0.1651,196.38
0.166,196.28
0.1668,197.93
0.1677,195.87
0.1687,196.69
0.1695,201.88
0.1704,201.25
0.1712,201.46
0.172,201.25
0.173,200.31
0.174,199.48
0.1748,200.83
0.1757,197.1
0.1769,198.96
0.1778,197.62
0.1788,197.31
0.1802,195.16
0.1818,198.65
0.183,197.62
0.184,201.68
0.1853,202.52
0.1863,207.41
0.1873,214.52
0.1881,226
0.1891,225.89
0.19,228.46
0.1912,232.15
0.1922,241.26
0.1932,241.26
0.1941,247.13
